href,text,time
./202403/t20240319_11262447.shtml,外交部大使王克俭访问卡塔尔,2024-03-19
./202403/t20240319_11262449.shtml,外交部大使王克俭会见哈马斯政治局主席哈尼亚,2024-03-19
./202403/t20240318_11262096.shtml,中国政府欧洲事务特别代表吴红波出席爱尔兰国庆招待会,2024-03-18
./202403/t20240318_11262029.shtml,中国政府非洲事务特别代表刘豫锡出席安哥拉—中国商务高峰论坛,2024-03-18
./202403/t20240318_11261737.shtml,外交部非洲之角事务特使薛冰集体会见非洲之角国家驻华使节,2024-03-18
./202403/t20240315_11261101.shtml,​外交部大使王克俭访问以色列,2024-03-15
./202403/t20240314_11260767.shtml,外交部礼宾司司长洪磊接受阿根廷新任驻华大使马致远递交国书副本,2024-03-14
./202403/t20240314_11260526.shtml,外交部大使王克俭访问巴勒斯坦,2024-03-14
./202403/t20240314_11260414.shtml,外交部亚洲司司长刘劲松应约会见美国务院前助卿帮办谢淑丽,2024-03-14
./202403/t20240313_11259936.shtml,中国政府欧亚事务特别代表李辉同法国外交部主管官员举行会谈,2024-03-13
./202403/t20240312_11259686.shtml,外交部国际司司长申博同马耳他外交部总司长举行联合国安理会事务磋商,2024-03-12
./202403/t20240312_11258657.shtml,外交部大使王克俭会见阿盟助理秘书长哈立德,2024-03-12
./202403/t20240312_11258278.shtml,外交部大使王克俭访问埃及,2024-03-12
./202403/t20240311_11257543.shtml,外交部亚洲司司长刘劲松会见日本青年学者访华团,2024-03-11
./202403/t20240310_11256942.shtml,中国政府欧亚事务特别代表李辉同德国外交部国务秘书举行会谈,2024-03-10
./202403/t20240308_11256300.shtml,中国政府拉美事务特别代表邱小琪访问古巴,2024-03-08
./202403/t20240308_11255995.shtml,中国政府欧亚事务特别代表李辉访问乌克兰,2024-03-08
./202403/t20240308_11255979.shtml,中国政府欧亚事务特别代表李辉同波兰外交部国务秘书举行会谈,2024-03-08
./202403/t20240306_11254485.shtml,中国政府拉美事务特别代表邱小琪访问巴拿马,2024-03-06
./202403/t20240306_11254325.shtml,中国政府欧亚事务特别代表李辉同瑞士外交部国际安全司司长吕兴格举行会谈,2024-03-06
./202403/t20240306_11254274.shtml,中国政府欧亚事务特别代表李辉同欧洲理事会主席首席外事顾问莫杜举行会谈,2024-03-06
./202403/t20240305_11254060.shtml,中沙举行第七轮领事磋商,2024-03-05
./202403/t20240305_11253994.shtml,中国政府欧亚事务特别代表李辉同欧盟对外行动署官员举行会谈,2024-03-05
./202403/t20240303_11253091.shtml,中国政府欧亚事务特别代表李辉同俄罗斯副外长加卢津举行会谈,2024-03-03
./202403/t20240303_11253089.shtml,中国政府拉美事务特别代表邱小琪出席拉美和加勒比国家共同体第八届峰会,2024-03-03
./202402/t20240229_11251736.shtml,中国和瑞士举行军控与防扩散磋商,2024-02-29
./202402/t20240228_11251127.shtml,外交部礼宾司司长洪磊分别接受格鲁吉亚、西班牙新任驻华大使递交国书副本,2024-02-28
./202402/t20240227_11250929.shtml,第十三次涉香港领事工作年度交流在成都举行,2024-02-27
./202402/t20240226_11250310.shtml,外交部阿富汗事务特使岳晓勇访问土库曼斯坦,2024-02-26
./202402/t20240226_11250308.shtml,外交部阿富汗事务特使岳晓勇出席第二次联合国秘书长阿富汗问题特使会议,2024-02-26
./202402/t20240226_11250214.shtml,外交部亚洲司司长刘劲松与瑞典驻华大使欧思诚就亚太事务交换意见,2024-02-26
./202312/t20231204_11194183.shtml,外交部组织阿拉伯国家驻华使节代表团赴海南省交流考察,2023-12-04
./202402/t20240223_11248850.shtml,中国政府朝鲜半岛事务特别代表刘晓明同美国对朝事务高级官员朴正铉视频通话,2024-02-23
./202402/t20240223_11248849.shtml,中国参与国际法院巴勒斯坦被占领土问题咨询意见案口头程序,2024-02-23
./202402/t20240220_11247471.shtml,外交部礼宾司司长洪磊分别接受柬埔寨、北马其顿新任驻华大使递交国书副本,2024-02-20
./202402/t20240208_11243615.shtml,外交部亚洲司司长刘劲松会见尼泊尔驻华大使施雷斯塔,2024-02-08
./202402/t20240208_11243598.shtml,外交部礼宾司司长洪磊接受摩洛哥新任驻华大使安萨里递交国书副本,2024-02-08
./202402/t20240207_11242111.shtml,外交部亚洲司司长刘劲松会见马来西亚驻华大使诺曼,2024-02-07
./202402/t20240206_11241689.shtml,中国政府欧洲事务特别代表吴红波会见欧洲议会前议长、德国艾伯特基金会会长舒尔茨,2024-02-06
./202402/t20240206_11241534.shtml,外交部领事司司长吴玺会见法国外交部海外侨民事务和领事管理司司长卡尔莫纳,2024-02-06
./202402/t20240205_11240744.shtml,外交部阿富汗事务特使岳晓勇访问阿富汗、伊朗和巴基斯坦,2024-02-05
./202402/t20240202_11239076.shtml,中国与瑞士举行联合国安理会事务磋商,2024-02-02
./202402/t20240202_11238710.shtml,外交部亚洲司司长刘劲松赴日本磋商,2024-02-02
./202402/t20240202_11238814.shtml,中德举行第五轮领事磋商,2024-02-02
./202402/t20240202_11238786.shtml,中国政府朝鲜半岛事务特别代表刘晓明会见瑞典政府朝鲜半岛事务特使塞姆内比,2024-02-01
./202402/t20240201_11238149.shtml,外交部边界与海洋事务司司长洪亮会见哈萨克斯坦外交部无任所大使阿曼若诺娃,2024-02-01
./202401/t20240131_11237197.shtml,外交部国际司司长申博接受世界卫生组织新任驻华代表马丁·泰勒递交委任书,2024-01-31
./202401/t20240129_11235498.shtml,外交部亚洲司司长刘劲松会见孟加拉国驻华大使乌丁,2024-01-29
./202401/t20240129_11235432.shtml,外交部礼宾司司长洪磊接受亚美尼亚新任驻华大使格沃尔克扬递交国书副本,2024-01-29
./202401/t20240129_11235247.shtml,外交部赴黑龙江举办2024年首场“驻华使节地方行”考察冰雪资源和冰雪产业,2024-01-29
./202401/t20240127_11234509.shtml,中国政府代表团团长陈旭大使在联合国人权理事会国别人权审议工作组通过中国参加第四轮国别人权审议报告时的发言,2024-01-27
./202401/t20240125_11233246.shtml,外交部边界与海洋事务司司长洪亮会见蒙古国外交部国际条法局局长苏赫包勒德,2024-01-25
./202401/t20240124_11232438.shtml,中国政府代表团团长陈旭大使在中国参加联合国人权理事会第四轮国别人权审议会议上的总结发言,2024-01-24
./202401/t20240124_11232434.shtml,中国政府代表团团长陈旭大使在中国参加联合国人权理事会第四轮国别人权审议时的介绍性发言,2024-01-24
./202401/t20240122_11230583.shtml,外交部领事司司长吴玺会见泰国外交部领事司司长路德,2024-01-22
./202401/t20240118_11228811.shtml,外交部亚洲司司长刘劲松会见缅甸驻华大使丁貌瑞,2024-01-18
./202401/t20240118_11228741.shtml,外交部礼宾司副司长李响分别接受捷克、澳大利亚新任驻华大使递交国书副本,2024-01-18
./202401/t20240105_11219116.shtml,外交部条法司司长马新民同白俄罗斯外交部条法司司长举行国际法磋商,2024-01-05
./202401/t20240104_11216806.shtml,外交部礼宾司司长洪磊分别接受斐济、布基纳法索新任驻华大使递交国书副本,2024-01-04
./202312/t20231227_11213802.shtml,外交部礼宾司副司长李响接受所罗门群岛新任驻华大使萨拉托递交国书副本,2023-12-27
./202312/t20231222_11209881.shtml,外交部礼宾司司长洪磊分别接受日本、保加利亚新任驻华大使递交国书副本,2023-12-22
./202312/t20231222_11209820.shtml,外交部亚洲司司长刘劲松会见阿富汗新任驻华大使卡里米,2023-12-22
./202312/t20231221_11209247.shtml,外交部阿富汗事务特使岳晓勇访问阿联酋、塔吉克斯坦、阿富汗,2023-12-21
./202312/t20231220_11207575.shtml,外交部亚洲司司长刘劲松同韩方磋商,2023-12-20
./202312/t20231219_11207085.shtml,肯尼亚内阁首席部长兼外长穆达瓦迪会见外交部非洲之角事务特使薛冰,2023-12-19
./202312/t20231218_11206192.shtml,厄立特里亚总统伊萨亚斯会见外交部非洲之角事务特使薛冰,2023-12-18
